PC1,PC2,PC3,PC4,PC5,orig_Max BOD,orig_Min Temperature,orig_Min BOD,orig_Max Temperature,orig_Max Fecal Coliform,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Max Nitrate N + Nitrite N,orig_Max Total Coliform,orig_Min pH,orig_Temperature_Range,orig_Min Fecal Coliform,STN_Code,Water_Body_Type
-1.6167317426288195,-0.5615529679234329,1.3502358943981623,0.03385102235886256,-0.6140552388529661,2.6,17.0,1.9,32.0,730.0,4.8,0.6,1.3,1100.0,6.8,15.0,300.0,1532.0,POND
-1.395743162210625,-0.25795096736956336,1.852836104489444,0.43538203632792694,0.1262322990061947,2.8,18.0,2.4,34.0,940.0,4.2,0.8,1.6,1600.0,7.2,16.0,360.0,3809.0,POND
-1.1963442898032772,-0.2085643710352991,2.0463350960242335,1.745697693747301,-0.5612630697959563,2.7,22.0,2.2,38.0,730.0,4.5,0.7,2.3,1500.0,6.9,16.0,300.0,2223.0,POND
-1.303786927189686,-0.36311598627035074,1.5582329252575282,0.6381310728998583,-0.5674704731571013,6.8,19.0,2.1,34.0,600.0,4.7,0.7,1.1,910.0,6.8,15.0,300.0,4006.0,POND
-1.187020025611976,-0.4460446609925962,-0.3131473615475689,0.4031483993954408,-0.39546688310725076,2.8,22.0,2.3,30.0,620.0,6.8,0.8,1.3,1400.0,6.8,8.0,300.0,2211.0,POND
-0.584361447101387,-0.10610731425008459,-1.4842923196104671,-0.33870350916019976,-0.11942060354921812,2.9,22.0,2.3,25.0,730.0,4.0,0.8,1.3,1600.0,6.9,3.0,300.0,3806.0,POND
-0.8948823723980379,-0.1084450489477373,1.374980638737032,1.881000098981158,-0.4378908196533084,2.7,24.0,2.5,37.0,730.0,4.5,0.8,1.7,2000.0,6.9,13.0,300.0,2222.0,POND
-1.2846882071205452,-0.24371199805891314,2.228858053508134,1.8235417887099235,-0.5978129545726977,2.6,22.0,2.1,38.5,720.0,4.6,0.7,2.2,1400.0,6.9,17.0,300.0,2224.0,POND
-1.3524702900634178,-0.3194133156069006,1.3292118443269607,0.7718578006080542,-0.27825237790101215,2.5,20.0,2.1,34.0,910.0,4.9,0.8,1.4,2000.0,7.0,14.0,300.0,2210.0,POND
-1.2394725158167945,-0.10597068381482753,1.7954053068049118,0.27309203541254673,-1.3483982489831319,2.5,18.0,1.0,34.0,910.0,4.9,0.8,8.0,1500.0,6.7,16.0,300.0,2226.0,POND
-1.2338533190841023,-0.19487169695345596,0.9004765343203089,-0.4392903310555497,-0.5593908529913418,2.8,17.0,2.4,30.0,730.0,4.3,1.0,1.5,1500.0,6.8,13.0,300.0,2217.0,POND
-1.499898497106644,-0.6427485865444306,1.5938835311297765,0.1000009716682494,-1.11807963835679,2.8,17.0,2.3,33.0,910.0,5.4,0.7,1.4,1500.0,6.5,16.0,300.0,3775.0,POND
-1.2347717404367373,-0.3536192360483456,1.8555705194792622,0.7239880019808819,-0.6410641714660542,2.6,19.0,2.3,35.0,720.0,4.3,0.9,1.2,2000.0,6.8,16.0,360.0,4334.0,POND
